page,tag256_ImageWidth,tag257_ImageLength,tag258_BitsPerSample,tag259_Compression,tag262_PhotometricInterpretation,tag273_StripOffsets,tag277_SamplesPerPixel,tag278_RowsPerStrip,tag279_StripByteCounts,tag282_XResolution,tag283_YResolution,tag296_ResolutionUnit,tag32768,tag32769,tag32770,tag32771,tag32772,tag32773,tag32774,tag32775,tag32776,tag32777,tag32778,tag32779,tag32781_ImageID,tag32782,timestamp_ns,t_seconds,delta_ms
0,1440,1080,16,1,1,"(342,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,346,1939,141413056,8328083000000,0.0,
1,1440,1080,16,1,1,"(3111076,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,347,1939,207413056,8328149000000,0.066,66.0
2,1440,1080,16,1,1,"(6221810,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,348,1939,274413056,8328216000000,0.133,67.0
3,1440,1080,16,1,1,"(9332544,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,349,1939,341413056,8328283000000,0.2,67.0
4,1440,1080,16,1,1,"(12443278,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,350,1939,407413056,8328349000000,0.266,66.0
5,1440,1080,16,1,1,"(15554012,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,351,1939,474413056,8328416000000,0.333,67.0
6,1440,1080,16,1,1,"(18664746,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,352,1939,541413056,8328483000000,0.4,67.0
7,1440,1080,16,1,1,"(21775480,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,353,1939,607413056,8328549000000,0.466,66.0
8,1440,1080,16,1,1,"(24886214,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,354,1939,674413056,8328616000000,0.533,67.0
9,1440,1080,16,1,1,"(27996948,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,355,1939,741413056,8328683000000,0.6,67.0
10,1440,1080,16,1,1,"(31107682,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,356,1939,807413056,8328749000000,0.666,66.0
11,1440,1080,16,1,1,"(34218416,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,357,1939,874413056,8328816000000,0.733,67.0
12,1440,1080,16,1,1,"(37329150,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,358,1939,941413056,8328883000000,0.8,67.0
13,1440,1080,16,1,1,"(40439884,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,359,1939,1007413056,8328949000000,0.866,66.0
14,1440,1080,16,1,1,"(43550618,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,360,1939,1074413056,8329016000000,0.933,67.0
15,1440,1080,16,1,1,"(46661352,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,361,1939,1141413056,8329083000000,1.0,67.0
16,1440,1080,16,1,1,"(49772086,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,362,1939,1207413056,8329149000000,1.066,66.0
17,1440,1080,16,1,1,"(52882820,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,363,1939,1274413056,8329216000000,1.133,67.0
18,1440,1080,16,1,1,"(55993554,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,364,1939,1341413056,8329283000000,1.2,67.0
19,1440,1080,16,1,1,"(59104288,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,365,1939,1407413056,8329349000000,1.266,66.0
20,1440,1080,16,1,1,"(62215022,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,366,1939,1474413056,8329416000000,1.333,67.0
21,1440,1080,16,1,1,"(65325756,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,367,1939,1541413056,8329483000000,1.4,67.0
22,1440,1080,16,1,1,"(68436490,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,368,1939,1607413056,8329549000000,1.466,66.0
23,1440,1080,16,1,1,"(71547224,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,17423,0,1,369,1939,1674413056,8329616000000,1.533,67.0
