page,tag256_ImageWidth,tag257_ImageLength,tag258_BitsPerSample,tag259_Compression,tag262_PhotometricInterpretation,tag273_StripOffsets,tag277_SamplesPerPixel,tag278_RowsPerStrip,tag279_StripByteCounts,tag282_XResolution,tag283_YResolution,tag296_ResolutionUnit,tag32768,tag32769,tag32770,tag32771,tag32772,tag32773,tag32774,tag32775,tag32776,tag32777,tag32778,tag32779,tag32781_ImageID,tag32782,timestamp_ns,t_seconds,delta_ms
0,1440,1080,16,1,1,"(342,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,1,1800,4012867200,7734954000000,0.0,
1,1440,1080,16,1,1,"(3111076,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,2,1800,4150867200,7735092000000,0.138,138.0
2,1440,1080,16,1,1,"(6221810,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,3,1800,4217867200,7735159000000,0.205,67.0
3,1440,1080,16,1,1,"(9332544,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,4,1800,4284867200,7735226000000,0.272,67.0
4,1440,1080,16,1,1,"(12443278,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,5,1801,55899904,7735292000000,0.338,66.0
5,1440,1080,16,1,1,"(15554012,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,6,1801,122899904,7735359000000,0.405,67.0
6,1440,1080,16,1,1,"(18664746,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,7,1801,189899904,7735426000000,0.472,67.0
7,1440,1080,16,1,1,"(21775480,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,8,1801,255899904,7735492000000,0.538,66.0
8,1440,1080,16,1,1,"(24886214,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,9,1801,322899904,7735559000000,0.605,67.0
9,1440,1080,16,1,1,"(27996948,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,10,1801,389899904,7735626000000,0.672,67.0
10,1440,1080,16,1,1,"(31107682,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,11,1801,455899904,7735692000000,0.738,66.0
11,1440,1080,16,1,1,"(34218416,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,12,1801,522899904,7735759000000,0.805,67.0
12,1440,1080,16,1,1,"(37329150,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,13,1801,589899904,7735826000000,0.872,67.0
13,1440,1080,16,1,1,"(40439884,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,14,1801,655899904,7735892000000,0.938,66.0
14,1440,1080,16,1,1,"(43550618,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,15,1801,722899904,7735959000000,1.005,67.0
15,1440,1080,16,1,1,"(46661352,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,16,1801,789899904,7736026000000,1.072,67.0
16,1440,1080,16,1,1,"(49772086,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,17,1801,855899904,7736092000000,1.138,66.0
17,1440,1080,16,1,1,"(52882820,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,18,1801,922899904,7736159000000,1.205,67.0
18,1440,1080,16,1,1,"(55993554,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,19,1801,989899904,7736226000000,1.272,67.0
19,1440,1080,16,1,1,"(59104288,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,20,1801,1055899904,7736292000000,1.338,66.0
20,1440,1080,16,1,1,"(62215022,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,21,1801,1122899904,7736359000000,1.405,67.0
21,1440,1080,16,1,1,"(65325756,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,22,1801,1189899904,7736426000000,1.472,67.0
22,1440,1080,16,1,1,"(68436490,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,23,1801,1255899904,7736492000000,1.538,66.0
23,1440,1080,16,1,1,"(71547224,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,24,1801,1322899904,7736559000000,1.605,67.0
24,1440,1080,16,1,1,"(74657958,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,25,1801,1389899904,7736626000000,1.672,67.0
25,1440,1080,16,1,1,"(77768692,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,26,1801,1455899904,7736692000000,1.738,66.0
26,1440,1080,16,1,1,"(80879426,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,27,1801,1522899904,7736759000000,1.805,67.0
27,1440,1080,16,1,1,"(83990160,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,28,1801,1589899904,7736826000000,1.872,67.0
28,1440,1080,16,1,1,"(87100894,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,29,1801,1655899904,7736892000000,1.938,66.0
29,1440,1080,16,1,1,"(90211628,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,30,1801,1722899904,7736959000000,2.005,67.0
30,1440,1080,16,1,1,"(93322362,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,31,1801,1789899904,7737026000000,2.072,67.0
31,1440,1080,16,1,1,"(96433096,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,32,1801,1855899904,7737092000000,2.138,66.0
32,1440,1080,16,1,1,"(99543830,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,33,1801,1922899904,7737159000000,2.205,67.0
33,1440,1080,16,1,1,"(102654564,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,34,1801,1989899904,7737226000000,2.272,67.0
34,1440,1080,16,1,1,"(105765298,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,35,1801,2055899904,7737292000000,2.338,66.0
35,1440,1080,16,1,1,"(108876032,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,36,1801,2122899904,7737359000000,2.405,67.0
36,1440,1080,16,1,1,"(111986766,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,37,1801,2189899904,7737426000000,2.472,67.0
37,1440,1080,16,1,1,"(115097500,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,38,1801,2255899904,7737492000000,2.538,66.0
38,1440,1080,16,1,1,"(118208234,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,39,1801,2322899904,7737559000000,2.605,67.0
39,1440,1080,16,1,1,"(121318968,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,40,1801,2389899904,7737626000000,2.672,67.0
40,1440,1080,16,1,1,"(124429702,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,41,1801,2455899904,7737692000000,2.738,66.0
41,1440,1080,16,1,1,"(127540436,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,42,1801,2522899904,7737759000000,2.805,67.0
42,1440,1080,16,1,1,"(130651170,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,43,1801,2589899904,7737826000000,2.872,67.0
43,1440,1080,16,1,1,"(133761904,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,44,1801,2655899904,7737892000000,2.938,66.0
44,1440,1080,16,1,1,"(136872638,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,45,1801,2722899904,7737959000000,3.005,67.0
45,1440,1080,16,1,1,"(139983372,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,46,1801,2789899904,7738026000000,3.072,67.0
46,1440,1080,16,1,1,"(143094106,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,47,1801,2855899904,7738092000000,3.138,66.0
47,1440,1080,16,1,1,"(146204840,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,48,1801,2922899904,7738159000000,3.205,67.0
48,1440,1080,16,1,1,"(149315574,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,49,1801,2989899904,7738226000000,3.272,67.0
49,1440,1080,16,1,1,"(152426308,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,50,1801,3055899904,7738292000000,3.338,66.0
50,1440,1080,16,1,1,"(155537042,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,51,1801,3122899904,7738359000000,3.405,67.0
51,1440,1080,16,1,1,"(158647776,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,52,1801,3189899904,7738426000000,3.472,67.0
52,1440,1080,16,1,1,"(161758510,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,53,1801,3255899904,7738492000000,3.538,66.0
53,1440,1080,16,1,1,"(164869244,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,54,1801,3322899904,7738559000000,3.605,67.0
54,1440,1080,16,1,1,"(167979978,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,55,1801,3389899904,7738626000000,3.672,67.0
55,1440,1080,16,1,1,"(171090712,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,56,1801,3455899904,7738692000000,3.738,66.0
56,1440,1080,16,1,1,"(174201446,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,57,1801,3522899904,7738759000000,3.805,67.0
57,1440,1080,16,1,1,"(177312180,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,58,1801,3589899904,7738826000000,3.872,67.0
58,1440,1080,16,1,1,"(180422914,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,59,1801,3655899904,7738892000000,3.938,66.0
59,1440,1080,16,1,1,"(183533648,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,60,1801,3722899904,7738959000000,4.005,67.0
60,1440,1080,16,1,1,"(186644382,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,61,1801,3789899904,7739026000000,4.072,67.0
61,1440,1080,16,1,1,"(189755116,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,62,1801,3855899904,7739092000000,4.138,66.0
62,1440,1080,16,1,1,"(192865850,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,63,1801,3922899904,7739159000000,4.205,67.0
63,1440,1080,16,1,1,"(195976584,)",1,1080,"(3110400,)","(20, 1)","(20, 1)",2,10,0,1,1,0,0,1440,1080,32991,0,1,64,1801,3989899904,7739226000000,4.272,67.0
